"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
20,5984793.736000011,6266361.713999994,846140.0,21235233.340163052,31183487.900684744,9948254.560521692,287174.5695692804,0.09639386905777594,0.00026409279193911217,2.753798509211783,0.042747257726087895,3965.4698532649677,45448,184.31999999999388,5605.950000001685
21,6266361.713999994,5795514.9039999945,3202430.0,21239585.469234053,30708650.172884967,9469064.703650914,-470485.598728776,0.006207481958780153,1.7006799887068913e-05,2.772879925604463,0.09018638709899579,3992.9470928704263,47614,177.11999999999807,359.1819999997356
22,5795514.9039999945,5402174.211000004,-1752920.0,21247842.563040078,30311360.61350642,9063518.050466344,-389032.465572522,0.07402266175410907,0.00020280181302495634,2.7427790397595904,-0.06781517979532892,3949.60181725381,49832,169.91999999999592,4307.492000001461
23,5402174.211000004,4865699.466999989,1920170.0,21251912.913183536,29770979.91024273,8519066.997059193,-536310.3531202339,0.00282342235388644,7.735403709277918e-06,2.714754974112808,0.07119923940022263,3909.247162722443,52029,159.83999999999887,161.10300000006583
24,4865699.466999989,5969365.463000009,-5383320.0,21262183.15239776,30870802.608387504,9608619.455989745,1110092.9373589978,0.11036227166261342,0.0003023623881167491,2.669300850766041,-0.10753884930872698,3843.793225103099,54147,200.16000000000383,6426.446000002028
25,5969365.463000009,5114164.453000003,-50230.0,21272784.928838417,30011631.568524692,8738846.639686275,-848569.263422153,0.11382347290747863,0.00031184513125336613,2.7575162856339674,-0.0034612012448652155,3970.823451312913,56340,178.55999999999608,6630.953000002124
26,5114164.453000003,5193269.820000002,-2192980.0,21287737.09338661,30086857.801221956,8799120.707835346,90178.39724545367,0.1899572188141353,0.000520430736477083,2.694239970066502,-0.07613374590665666,3879.7055568957626,58533,185.75999999999786,11072.459000003677
27,5193269.820000002,5238395.260999993,-1168990.0,21303295.37528233,30128091.606475975,8824796.231193647,56792.0871497402,0.2,0.0005479452054794521,2.7028679894055663,-0.053165667004964105,3892.1299047440157,60711,191.52000000000314,11666.152000004018
28,5238395.260999993,5880255.306000006,-1996770.0,21318870.326418966,30766051.87610671,9447181.549687743,653535.2207673714,0.2,0.0005479452054794521,2.7086112128475044,-0.07256602212386523,3900.400146500406,62867,221.75999999999698,11674.551000004089
29,5880255.306000006,5495292.720000014,642110.0,21332497.98931867,30377117.298381086,9044619.309062418,-375306.9148259219,0.16528377395307142,0.00045283225740567513,2.758868687567264,0.0347162260469286,3972.7709100968605,64979,210.23999999999307,9654.892000004444
