"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
22,2478356.2880000016,2477266.206000001,-26065847.317821503,21300042.050688583,27358043.22539758,6058001.174708996,10574.782482026145,0.2,0.0005479452054794521,3.826265001540806,-0.14221821432923124,5509.821602218761,49782,159.19900000000015,11664.371000003777
23,2477266.206000001,2470946.265000002,32169887.926273346,21308841.679203395,27346210.846877716,6037369.167674322,-3032.7500050519593,0.05631511025398578,0.00015428797329859119,3.828860091837347,0.14368488974601423,5513.55853224578,51966,160.41999999999982,3286.0700000019483
24,2470946.265000002,2542019.8630000013,-6094398.1358680725,21324524.536421165,27411773.347499598,6087248.811078433,81245.3578396514,0.1741874254072062,0.0004772258230334416,3.8275779371426903,-0.11787231515322041,5511.712229485474,54056,168.22000000000028,10171.145000004273
25,2542019.8630000013,2479241.6810000003,-14283428.298778534,21341772.736340035,27343434.683771055,6001661.94743102,-51090.463809671346,0.2,0.0005479452054794521,3.8619173130330644,-0.13584421587163512,5561.160930767613,56269,167.78100000000018,11687.039000004454
26,2479241.6810000003,2575578.446000003,342912.52756500244,21358105.171313442,27434246.61940212,6076141.448088679,107144.3706044755,0.18479041116177491,0.0005062750990733559,3.8372555458057542,0.015209588838225084,5525.647985960286,58464,178.29700000000003,10806.787000004659
27,2575578.446000003,2414929.9160000016,17887735.456809998,21366394.922085382,27268009.03568386,5901614.113598477,-157947.83294632146,0.04614156809835271,0.00012641525506398003,3.8823811072481273,0.1386488430634222,5590.628794437303,60640,167.48099999999994,2699.122000002538
28,2414929.9160000016,2564829.465000004,-18155049.707939148,21382712.6810248,27412420.326014508,6029707.644989707,160729.0492700669,0.18495176127917387,0.0005067171541895174,3.8119006618562064,-0.13881019318082116,5489.136953072937,62805,182.07100000000017,10828.622000005185
29,2564829.465000004,2542085.4999999953,30870254.145454407,21390736.453924194,27384087.771713134,5993351.31778894,-20308.781401979737,0.04155738800744968,0.00011385585755465665,3.882277725289504,0.1433943732717242,5590.479924416886,64974,184.0730000000002,2433.2930000028364
30,2542085.4999999953,2566648.274999998,-58031146.362449646,21407336.87208674,27403072.930742256,5995736.058655515,35585.57719167089,0.18803811845258117,0.0005151729272673456,3.8739369286512377,-0.1464807304451315,5578.469177257783,67054,186.83100000000007,11021.949000005572
31,2566648.274999998,2563965.6029999945,-21410489.362018585,21424667.042700287,27394793.203147728,5970126.160447441,9050.443019018508,0.2,0.0005479452054794521,3.8875261308093374,-0.14048126483178625,5598.037628365446,69181,190.5080000000001,11732.133000005633
32,2563965.6029999945,2530745.6419999967,26740948.152179718,21433650.318760306,27355973.982214924,5922323.663454618,-29835.94487278443,0.0576365115363158,0.00015790825078442684,3.889525059186432,0.1423634884636842,5600.916085228462,71344,189.81100000000006,3382.3600000028014
33,2530745.6419999967,2577548.339000001,-18667545.80286026,21450786.63075605,27397195.06890051,5946408.43814446,58357.398681330495,0.19671721201188686,0.0005389512657859914,3.876756952441875,-0.13908070047557106,5582.5300115163,73523,195.9380000000002,11553.782000006086
34,2577548.339000001,2578580.203000001,9268521.52135849,21460424.329889823,27392612.510989778,5932188.181099955,5055.141223037615,0.0684409313698694,0.00018750940101334082,3.9000660826829656,0.12827628064201746,5616.09515906347,75632,197.8580000000001,4021.6040000028274
35,2578580.203000001,2633108.129000002,25232470.416103363,21461725.39190828,27441519.42483067,5979794.032922391,50207.97585935285,-0.07345470046535407,-0.0002012457546996002,3.90225693953552,0.14189563183522347,5619.249992931149,77819,204.2020000000002,-4318.188000003846
36,2633108.129000002,2545596.163000001,-41244061.666469574,21471585.98137365,27348356.79317991,5876770.811806262,-83302.0421853913,0.07157940809670343,0.00019610796738822858,3.9252447862995035,-0.1450341085620575,5652.352492271285,80007,199.1500000000002,4208.237000003474
37,2545596.163000001,2506021.820000005,-57328182.7869606,21488954.931481387,27303181.822119024,5814226.890637636,-27806.020953147206,0.2,0.0005479452054794521,3.8901070315694954,-0.1464241642406698,5601.754125460074,82093,199.36100000000016,11767.19600000707
38,2506021.820000005,2601231.327999996,28022814.804531097,21497908.857467603,27392812.361332517,5894903.503864914,98584.46519970987,0.05731034961617085,0.00015701465648265984,3.8758014005071795,0.14268965038382916,5581.154016730338,84256,209.07199999999995,3372.772000003427
39,2601231.327999996,2649918.7500000014,-9350463.293697357,21514492.23938592,27435858.165392403,5921365.926006481,59629.18597820541,0.18572484711758905,0.0005088351975824358,3.9186409289765765,-0.1284144975014182,5642.84293772627,86396,214.75499999999994,10940.539000007351
40,2649918.7500000014,2607350.7769999923,-4156871.8827552795,21531959.019855652,27387615.285005335,5855656.265149683,-30776.0999173373,0.2,0.0005479452054794521,3.9417614512700676,-0.10438225166406694,5676.1364898288975,88502,212.95200000000042,11790.644000007622
41,2607350.7769999923,2604335.322,26537352.406261444,21541019.116667006,27378946.406911746,5837927.2902447395,391.21871776599437,0.0577332233058209,0.00015817321453649562,3.9274116977267917,0.14226677669417911,5655.47284472658,90656,215.27899999999994,3404.6240000037474
42,2604335.322,2592079.8000000007,-28057573.476226807,21558480.31485148,27361036.084070213,5802555.769218732,-449.12465705536306,0.2,0.0005479452054794521,3.9278015316200716,-0.14268102985619752,5656.034205532903,92900,216.51399999999987,11805.164000007784
43,2592079.8000000007,2559444.9659999977,-6116570.512989044,21575948.180824354,27322749.347658895,5746801.166834541,-20818.870438443962,0.2,0.0005479452054794521,3.9258229123893487,-0.11763293493963402,5653.184993840662,95096,217.06300000000047,11814.68100000816
44,2559444.9659999977,2647821.898,45278413.66011047,21584808.60164254,27405491.161920305,5820682.560277764,91602.23507959954,0.054548151983826676,0.00014944699173651145,3.9150360103660646,0.14545184801617334,5637.651854927133,97215,224.48800000000017,3222.7690000041466
45,2647821.898,2613812.996999996,-24745190.832698822,21602108.488332856,27365790.21562545,5763681.727292594,-22401.059604539536,0.196237312957951,0.0005376364738574,3.953789383691032,-0.14168916097412432,5693.456712515086,99408,224.77299999999994,11606.430000008639
46,2613812.996999996,2604612.0200000084,15176905.216407776,21611320.286644842,27350914.140909567,5739593.854264725,-5664.276403895114,0.0597421550151114,0.00016367713702770248,3.942912048152275,0.1364951579428396,5677.793349339276,101603,224.60200000000032,3534.0050000042124
47,2604612.0200000084,2590914.9680000036,-53793711.74084091,21628838.333380077,27331543.97091263,5702705.637532555,-1852.1232617013156,0.2,0.0005479452054794521,3.9407366382911486,-0.1461646801860646,5674.660759139254,103730,227.97500000000016,11843.386000009108
48,2590914.9680000036,2614704.0260000024,42325841.413383484,21637759.14093487,27349664.91357603,5711905.77264116,27041.75021818932,0.05487680102157086,0.00015034740005909824,3.9381406909962595,0.14512319897842915,5670.922595034614,105776,229.93700000000013,3249.8850000045354
49,2614704.0260000024,2688350.6350000007,633650.8163795471,21645084.115157444,27417627.866764788,5772543.751607344,75287.92741133412,0.02767956622311151,7.583442800852469e-05,3.9497918544426187,0.027197234798459348,5687.700270397371,107830,238.01200000000028,1637.2739999984228
