"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
40,4153954.886,4743324.371999996,-253680.0,21552617.278298687,29480137.278455373,7927520.000156686,595350.1382556492,0.10131223611420602,0.0002775677701759069,4.352995370164483,-0.011191373138280876,6268.3133330368555,88779,221.75999999999698,5979.310000003927
41,4743324.371999996,4619659.408000002,-939530.0,21567323.979128845,29350067.770968076,7782743.791839231,-115362.80665714014,0.1405577349652606,0.00038508968483633047,4.448364478253473,-0.0392454988510546,6405.644848685001,90960,221.75999999999698,8301.056000003875
42,4619659.408000002,4553591.971999995,-345670.0,21582912.27109958,29277616.591204565,7694704.320104986,-56862.8877927782,0.1557293721033337,0.0004266558139817362,4.4337708256290025,-0.015171637138073093,6384.629988905764,93126,220.31999999999698,9203.662000005748
43,4553591.971999995,4601202.761000003,-446790.0,21599650.157726053,29318853.329591032,7719203.171864979,57974.62501294259,0.17521653558909778,0.0004800453029838295,4.427175447407729,-0.019487163485764066,6375.13264426713,95255,226.08000000000598,10362.75400000683
44,4601202.761000003,3669974.524999997,1181550.0,21613582.321881767,28381236.04153937,6767653.719657604,-923685.1238959478,0.12742899025101603,0.0003491205212356604,4.4377035949198085,0.04778754533808174,6390.293176684524,97389,182.8800000000023,7541.871000003854
45,3669974.524999997,3365230.3649999974,6255980.0,21620271.987979352,28070347.326715223,6450075.338735871,-304199.04872656334,0.009202964168429334,2.521360046145023e-05,4.270298710470908,0.1182260260825867,6149.230143078108,99528,169.91999999999592,540.4359999993552
46,3365230.3649999974,3007559.8259999948,-5410700.0,21633595.640152004,27706634.530213144,6073038.89006114,-350389.14432943007,0.12289236477951358,0.00033669141035483173,4.196891802523066,-0.11368940061108425,6043.524195633215,101749,155.52000000000268,7280.128000004316
47,3007559.8259999948,3187702.568999993,2049370.0,21642482.45799889,27880883.737019636,6238401.279020745,183136.0246533784,0.05048860867293466,0.00013832495526831413,4.094144361241633,0.07240375610657893,5895.567880187951,103985,165.60000000000048,2991.250000003726
48,3187702.568999993,3519627.9660000005,-1111760.0,21654140.726930566,28206832.449206635,6552691.722276069,337606.9811186772,0.09579333272044077,0.0002624474869053172,4.15159024875713,-0.045304724047506115,5978.289958210267,106058,185.75999999999786,5679.979000005102
49,3519627.9660000005,3410356.150000002,-2446700.0,21670728.94370369,28091452.22305596,6420723.27935227,-98792.00937755406,0.17659673051424665,0.0004838266589431415,4.24288527375669,-0.08080339779380588,6109.7547942096335,108214,181.44000000000398,10478.462000008281
50,3410356.150000002,2985482.9979999983,-25960.0,21687358.23311018,27660505.511633433,5973147.278523255,-414317.42201603577,0.17774029343384443,0.00048695970803792996,4.218556546807256,-0.001143562919597772,6074.721427402448,110315,162.7199999999994,10554.56800000835
51,2985482.9979999983,2230396.1719999993,2002620.0,21699589.202959064,26899520.604542688,5199931.401583623,-748753.9372418588,0.10655404540409481,0.000291928891518068,4.09705269204265,0.07118624802974961,5899.755876541417,112496,122.39999999999625,6331.2140000052295
52,2230396.1719999993,2545892.0199999996,-385650.0,21712360.40140073,27209580.11309672,5497219.711695991,322830.7069957,0.12334578085980248,0.0003379336461912397,3.7764142142530903,-0.016791735455707668,5438.03646852445,114646,142.55999999999986,7333.162000005121
53,2545892.0199999996,2470292.1459999983,323690.0,21724521.941758513,27128317.28587969,5403795.344121177,-69101.28685924644,0.10921731092184192,0.00029922550937490935,3.93385929568897,0.014128469937960566,5664.757385792117,116785,139.67999999999782,6496.783000005302
